@RELATION attendance_weka_ready

@ATTRIBUTE age_group {19-20,21-22,'23+','<=18'}
@ATTRIBUTE gender {female,male,other}
@ATTRIBUTE course {ba,bba,bca,bcom,bsc,btech,diploma,nursing,pharmacy}
@ATTRIBUTE year {1st_year,2nd_year,3rd_year,4th_year}
@ATTRIBUTE parent_education {graduate,high_school,no_formal,phd,post_graduate}
@ATTRIBUTE internet_access {no,yes}
@ATTRIBUTE hostel_resident {no,yes}
@ATTRIBUTE class_type {offline,online}
@ATTRIBUTE weather {cloudy,cold,hot,rainy,sunny}
@ATTRIBUTE study_hours_band {high,low,medium}
@ATTRIBUTE sleep_hours_band {good,high,low,normal}
@ATTRIBUTE travel_time_band {long,moderate,short,very_long}
@ATTRIBUTE absence_reason {festival,no_reason,none,personal_work,project_work,sick,travel}
@ATTRIBUTE attendance_status {Absent,Present}

@DATA
'<=18',other,bsc,3rd_year,graduate,yes,yes,online,cold,medium,good,very_long,none,Present
21-22,male,nursing,4th_year,graduate,yes,no,online,sunny,high,good,long,none,Present
21-22,other,pharmacy,3rd_year,phd,yes,yes,offline,rainy,high,high,very_long,travel,Absent
19-20,female,btech,4th_year,no_formal,yes,no,offline,sunny,medium,high,very_long,none,Present
'23+',male,nursing,1st_year,phd,yes,yes,offline,cloudy,high,good,very_long,none,Present
19-20,other,diploma,4th_year,high_school,yes,yes,offline,cold,medium,good,very_long,no_reason,Absent
'23+',other,ba,1st_year,no_formal,no,no,offline,hot,medium,good,very_long,none,Present
19-20,male,bca,4th_year,graduate,yes,yes,offline,sunny,medium,good,very_long,none,Present
21-22,male,nursing,3rd_year,high_school,yes,yes,offline,rainy,low,normal,very_long,personal_work,Absent
21-22,male,bba,3rd_year,post_graduate,no,no,offline,cloudy,medium,good,very_long,none,Present
'23+',female,bca,1st_year,post_graduate,yes,yes,offline,hot,medium,high,long,none,Present
19-20,female,btech,3rd_year,graduate,no,no,offline,sunny,medium,normal,very_long,none,Present
19-20,other,pharmacy,1st_year,post_graduate,yes,yes,offline,sunny,high,low,very_long,none,Present
'<=18',other,pharmacy,3rd_year,no_formal,yes,yes,online,rainy,medium,normal,very_long,none,Present
